,area,month,state,aqi_value
2743,Dhule,2024-05,Maharashtra,118.79166666666667
2744,Dhule,2024-06,Maharashtra,82.66666666666667
2745,Dhule,2024-07,Maharashtra,55.06666666666667
2746,Dhule,2024-08,Maharashtra,44.214285714285715
2747,Dhule,2024-09,Maharashtra,48.666666666666664
2748,Dhule,2024-10,Maharashtra,83.48387096774194
2749,Dhule,2024-11,Maharashtra,183.16666666666666
2750,Dhule,2024-12,Maharashtra,102.09677419354838
2751,Dhule,2025-01,Maharashtra,97.08333333333333
2752,Dhule,2025-02,Maharashtra,90.6
2753,Dhule,2025-03,Maharashtra,96.4
2754,Dhule,2025-04,Maharashtra,102.22727272727273
2755,Dindigul,2022-09,Tamil Nadu,44.76923076923077
2756,Dindigul,2022-10,Tamil Nadu,60.11764705882353
2757,Dindigul,2022-11,Tamil Nadu,57.1875
2758,Dindigul,2022-12,Tamil Nadu,216.23076923076923
2759,Dindigul,2023-01,Tamil Nadu,232.8125
2760,Dindigul,2023-02,Tamil Nadu,282.3125
2761,Dindigul,2023-03,Tamil Nadu,216.42307692307693
2762,Dindigul,2023-04,Tamil Nadu,47.46666666666667
2763,Dindigul,2023-05,Tamil Nadu,45.77777777777778
2764,Dindigul,2023-06,Tamil Nadu,40.90909090909091
2765,Dindigul,2023-07,Tamil Nadu,47.07142857142857
2766,Dindigul,2024-07,Tamil Nadu,92.33333333333333
2767,Dindigul,2024-08,Tamil Nadu,39.6875
2768,Dindigul,2024-09,Tamil Nadu,37.689655172413794
2769,Dindigul,2024-10,Tamil Nadu,43.96153846153846
2770,Dindigul,2024-11,Tamil Nadu,94.18518518518519
2771,Dindigul,2024-12,Tamil Nadu,94.07692307692308
2772,Dindigul,2025-01,Tamil Nadu,116.03846153846153
2773,Dindigul,2025-02,Tamil Nadu,103.08
2774,Dindigul,2025-03,Tamil Nadu,75.48275862068965
2775,Dindigul,2025-04,Tamil Nadu,80.03703703703704
2776,Dungarpur,2024-03,Rajasthan,91.12903225806451
2777,Dungarpur,2024-04,Rajasthan,94.24
2778,Dungarpur,2024-05,Rajasthan,92.43333333333334
2779,Dungarpur,2024-06,Rajasthan,94.92307692307692
2780,Dungarpur,2024-07,Rajasthan,104.76
2781,Dungarpur,2024-08,Rajasthan,67.0
2782,Dungarpur,2024-09,Rajasthan,60.958333333333336
2783,Dungarpur,2024-10,Rajasthan,79.96774193548387
2784,Dungarpur,2024-11,Rajasthan,139.55172413793105
2785,Dungarpur,2024-12,Rajasthan,182.7741935483871
